2025/06/14 07:25:50.913506 main.go:781: [ERROR] [open clock.png: no such file or directory reload clock png failed.]
2025/06/14 07:25:50.913771 main.go:781: [ERROR] [open pomodoro.png: no such file or directory reload pomodoro png failed.]
2025/06/14 07:25:50.913786 main.go:781: [ERROR] [open working.png: no such file or directory reload working png failed.]
2025/06/14 07:25:50.913797 main.go:781: [ERROR] [open breaking.png: no such file or directory reload breaking png failed.]
2025/06/14 07:25:50.913806 main.go:781: [ERROR] [open pause.png: no such file or directory reload pause png failed.]
2025/06/14 07:27:47.781759 main.go:781: [ERROR] [open pomodoro.png: no such file or directory reload pomodoro png failed.]
2025/06/14 07:28:26.618042 main.go:773: [INFO] [task record= {0 2025-06-14 2025-06-14 07:28:26.611936 +0800 CST m=+12.082671043 2025-06-14 07:28:26.617975 +0800 CST m=+12.088709793 1 pomodoro}]
2025/06/14 07:28:54.548255 main.go:773: [INFO] [task record= {0 2025-06-14 2025-06-14 07:28:54.53757 +0800 CST m=+40.008113626 2025-06-14 07:28:54.54813 +0800 CST m=+40.018673751 1 pomodoro}]
2025/06/14 17:34:12 main.go:712: [INFO] shutdown run.
2025/06/14 17:35:45 main.go:712: [INFO] shutdown run.
2025/06/14 17:43:37 main.go:714: [INFO] shutdown run.
2025/06/14 17:45:42 main.go:712: [INFO] shutdown run.
2025/06/14 17:47:45 main.go:718: [INFO] shutdown run.
2025/06/14 17:54:19 main.go:718: [INFO] shutdown run.
2025/06/14 17:56:11 main.go:720: [INFO] shutdown run.
2025/06/14 17:57:44 main.go:720: [INFO] shutdown run.
2025/06/14 18:01:39 main.go:720: [INFO] shutdown run.
2025/06/14 18:03:04 main.go:721: [INFO] shutdown run.
2025/06/14 18:03:18 main.go:721: [INFO] shutdown run.
2025/06/14 18:03:46 main.go:720: [INFO] shutdown run.
2025/06/14 18:23:41 main.go:723: [INFO] shutdown run.
2025/06/14 18:23:59 main.go:723: [INFO] shutdown run.
2025/06/16 01:19:31 main.go:756: [INFO] size=%!(EXTRA fyne.Size={430 280})
2025/06/16 01:19:54 main.go:756: [INFO] size=%!(EXTRA fyne.Size={430 252})
2025/06/16 01:21:06 main.go:756: [INFO] size=%!(EXTRA fyne.Size={430 257})
2025/06/16 01:21:21 main.go:756: [INFO] size=%!(EXTRA fyne.Size={430 239})
2025/06/16 01:21:22 main.go:756: [INFO] size=%!(EXTRA fyne.Size={430 239})
2025/06/16 01:43:11 main.go:756: [INFO] size=%!(EXTRA fyne.Size={1728 1080})
2025/06/16 01:43:13 main.go:756: [INFO] size=%!(EXTRA fyne.Size={1728 1080})
2025/06/16 01:44:00 main.go:756: [INFO] size=%!(EXTRA fyne.Size={430 280})
2025/06/16 01:44:01 main.go:756: [INFO] size=%!(EXTRA fyne.Size={430 280})
2025/06/16 01:44:08 main.go:756: [INFO] size=%!(EXTRA fyne.Size={430 267})
2025/06/16 02:02:25 main.go:756: [INFO] size=%!(EXTRA fyne.Size={430 257})
2025/06/16 02:02:27 main.go:756: [INFO] size=%!(EXTRA fyne.Size={430 257})
2025/06/16 02:02:27 main.go:756: [INFO] size=%!(EXTRA fyne.Size={430 257})
2025/06/16 02:02:28 main.go:756: [INFO] size=%!(EXTRA fyne.Size={430 257})
2025/06/16 02:02:29 main.go:756: [INFO] size=%!(EXTRA fyne.Size={430 257})
2025/06/16 02:03:32 main.go:739: [INFO] size=%!(EXTRA fyne.Size={430 257})
2025/06/16 02:04:28 main.go:739: [INFO] size=%!(EXTRA fyne.Size={501 301})
2025/06/16 02:04:30 main.go:739: [INFO] size=%!(EXTRA fyne.Size={501 301})
2025/06/16 02:04:57 main.go:739: [INFO] size=%!(EXTRA fyne.Size={524 255})
2025/06/16 02:04:59 main.go:739: [INFO] size=%!(EXTRA fyne.Size={524 255})
2025/06/16 02:05:00 main.go:739: [INFO] size=%!(EXTRA fyne.Size={524 255})
